
IFM.COM - Country	CC	Modal Data		
Subsidiaries:				
				
Argentina: Español	ar	https://www.ifm.com/web/read_jsoncountries_ar.js		{ "info": [{"company":"ifm electronic s.r.l.", "address":"Lola Mora 421<br>10Âº piso, oficina 3<br>1107 - Puerto Madero<br>Ciudad Aut. Buenos Aires<br>Phone/Fax +54 (011) 5353-3436<br>Interior del paÃ­s: 0810-345-3436","email":"info.ar@ifm.com", "link":"www.ifm.com/ar", "flag":"ar"}]}
Australia: English	au	https://www.ifm.com/web/read_jsoncountries_au.js		{ "info": [{"company":"ifm efector pty ltd.", "address":"PO Box 479<br>Suite 3, 745 Springvale Road<br>Mulgrave VIC 3170<br>Phone 1300 365 088<br>Fax 1300 365 070","email":"sales.au@ifm.com", "link":"www.ifm.com/au", "flag":"AUS"}]}
Austria: Deutsch	at	https://www.ifm.com/web/read_jsoncountries_at.js		{ "info": [{"company":"ifm electronic gmbh", "address":"WienerbergstraÃŸe 41<br>GebÃ¤ude E<br>1120 Wien<br>Phone +43 / 1 / 617 45 00<br>Fax +43 / 1 / 617 45 00 10","email":"info.at@ifm.com", "link":"www.ifm.com/at", "flag":"A"}]}
				
Belgium: Nederlands | Français	be	https://www.ifm.com/web/read_jsoncountries_be.js	{ "info": [{"company":"ifm electronic n.v./s.a.", "address":"Zuiderlaan 91 - B6<br>1731 Zellik<br>Phone +32 2 481 0220<br>Fax +32 2 463 1795","email":"info.be@ifm.com", "link":"www.ifm.com/be", "flag":"B"}]}	
Brazil: Português	br	https://www.ifm.com/web/read_jsoncountries_br.js		{ "info": [{"company":"ifm electronic Ltda.", "address":"Rua Eleonora Cintra, 140<br>Jardim Analia Franco<br>03337-000 SÃ£o Paulo<br>Phone +55-11-2672-1730<br>Fax +55-11-2673-3501","email":"info.br@ifm.com", "link":"www.ifm.com/br", "flag":"BR"}]}
Bulgaria: български	bg	https://www.ifm.com/web/read_jsoncountries_bg.js		{ "info": [{"company":"ifm electronic  eood", "address":"1202  Sofia<br>ul. Klokotnica No 2A<br>Business Centre   IVEL<br>fl.4, office 17<br><br>Phone +359 2 807 59 69<br>Fax +359 2 807 59 60","email":"info.bg@ifm.com", "link":"", "flag":"bul"}]}
				
Canada: English | Français	ca	https://www.ifm.com/web/read_jsoncountries_ca.js		{ "info": [{"company":"ifm efector Canada Inc.", "address":"ifm efector Canada lnc.<br>Suite-302 at 2476 Argentia Road<br>Mississauga, Ontario L5N 6M1<br>Canada<br>Phone 855-436-2262<br>Fax 855-399-5099","email":"info.ca@ifm.com", "link":"www.ifm.com/ca", "flag":"CDN"}]}
China: 中文	cn	https://www.ifm.com/web/read_jsoncountries_cn.js		{ "info": [{"company":"ifm electronic (Shanghai) Co., Ltd", "address":"Building 15, <br>No. 1000, Zhangheng Road, <br>Pu Dong District.<br>201203 Shanghai, P.R.China <br>Phone +86 21 3813 4800<br>Fax +86 21 5027 8669<br>400 National Service Hotline: <br>400 880 6651<br>Involving: Contract quotation, Product delivery, Technical support, etc<br>info.cn@ifm.com<br>www.ifm.com/cn<br><br><b>ifm electronic (HK) Ltd</b><br>Unit 2106, 21/F,<br>Tower 2, Metroplaza<br>No. 223 Hing Fong Road,<br>Kwai Chung, <br>N.T., Hong Kong. <br>info.hk@ifm.com<br>www.ifm.com/hk<br><br><b>ifm electronic (Taiwan) Limited</b><br>9F.-6, No.12, Fuxing 4th Rd., Cianjhen District, Kaohsiung City,<br>Postal Code 806, Taiwan, R.O.C.<br>Phone +886-7-335-7778<br>Fax +886-7-335-6878<br>info.tw@ifm.com<br>www.ifm.com/tw","email":"", "link":"", "flag":"TJ"}]}
Chile: Español	cl	https://www.ifm.com/web/read_jsoncountries_cl.js		{ "info": [{"company":"ifm electronic SpA", "address":"Av. Presidente Eduardo Frei Montalva<br>#6199, Oficina 5041,<br>Comuna de ConchalÃ­,<br>Santiago, Chile<br>Phone: +56-2-32239282","email":"info.cl@ifm.com", "link":"", "flag":"CHL"}]}
Czech Republic: Čeština	cz	https://www.ifm.com/web/read_jsoncountries_cz.js		{ "info": [{"company":"ifm electronic, spol. s r.o.", "address":"GreenLine KaÄerov<br>JihlavskÃ¡ 1558/21<br>140 00 Praha 4 â€“ Michle<br>Phone +420 267 990 211<br>Fax +420 267 750 180","email":"info.cz@ifm.com", "link":"www.ifm.com/cz", "flag":"CZ"}]}
Croatia: Hrvatski	hr	https://www.ifm.com/web/read_jsoncountries_hr.js		{ "info": [{"company":"ifm electronic gmbh", "address":"Wienerbergstr. 41<br>GebÃ¤ude E<br>1120 Wien<br>Phone +43 / 1 / 617 45 00<br>Fax +43 / 1 / 617 45 00 10","email":"info.hr@ifm.com", "link":"www.ifm.com/hr", "flag":"CRO"}]}
				
Denmark: Dansk	dk	https://www.ifm.com/web/read_jsoncountries_dk.js		{ "info": [{"company":"ifm electronic a/s", "address":"Ringager 4A<br>2605  BrÃ¸ndby<br>Phone +45 70 20 11 08","email":"info.dk@ifm.com", "link":"www.ifm.com/dk", "flag":"DK"}]}
				
Finland: Suomeksi	fi	https://www.ifm.com/web/read_jsoncountries_fi.js		{ "info": [{"company":"ifm electronic oy", "address":"Vaakatie 5 <br>00440 Helsinki <br>Phone +358 (0)75 329 5000<br>Fax +358 (0)75 329 5010","email":"info.fi@ifm.com", "link":"www.ifm.com/fi", "flag":"FIN"}]}
France: Français	fr	https://www.ifm.com/web/read_jsoncountries_fr.js		{ "info": [{"company":"ifm electronic", "address":"SiÃ¨ge :<br>Savoie Technolac BP226<br>73374 Le Bourget du Lac<br><br><br>Agence commerciale :<br>Immeuble Uranus<br>1-3 rue Jean Richepin<br>93192 NOISY LE GRAND CEDEX<br><br><br>Phone 09 70 15 30 01<br>Fax 0820 22 22 04","email":"info.fr@ifm.com", "link":"www.ifm.com/fr", "flag":"F"}]}
				
Germany: Deutsch	de	https://www.ifm.com/web/read_jsoncountries_de.js		{ "info": [{"company":"ifm electronic gmbh", "address":"Friedrichstr. 1<br>45128 Essen<br>Phone +49 201 24 22 0<br>Fax +49 201 24 22 12 00","email":"info@ifm.com", "link":"www.ifm.com/de", "flag":"D"}]}
Greece: Ελληνικά	gr	https://www.ifm.com/web/read_jsoncountries_gr.js		{ "info": [{"company":"ifm electronic Monoprosopi EPE", "address":"Andrea Papandreou Street 29<br>15124 Amaroussio<br>Phone +30 210 61 800 90<br>Fax +30 210 61 994 00","email":"info.gr@ifm.com", "link":"www.ifm.com/gr", "flag":"GR"}]}
				
Hongkong: 繁體中文	hk	https://www.ifm.com/web/read_jsoncountries_hk.js		Skip: Hong Kong - cant find link { "info": [{"company":"", "address":"","email":"", "link":"", "flag":""}]}
Hungary: Magyar	hu	https://www.ifm.com/web/read_jsoncountries_hu.js		{ "info": [{"company":"ifm electronic kft.", "address":"Szent Imre Ãºt 59. I.em.<br>H-9028 GyÅ‘r<br>Phone +36-96 / 518-397<br>Fax +36-96 / 518-398","email":"info.hu@ifm.com", "link":"www.ifm.com/hu", "flag":"H"}]}
				
Iceland: Dansk	is	https://www.ifm.com/web/read_jsoncountries_is.js		{ "info": [{"company":"", "address":"","email":"", "link":"", "flag":""}]}
India: English	in	https://www.ifm.com/web/read_jsoncountries_in.js		{ "info": [{"company":"ifm electronic India Private Limited", "address":"Plot No. P-39/1<br>MIDC Gokul Shirgaon<br>Kolhapur â€“ 416234<br>Maharashtra State<br>Phone +91 / 231 / 267 27 70<br>Fax +91 / 231 / 267 23 88","email":"info.india@ifm.com", "link":"www.ifm.com/in", "flag":"IND"}]}
Ireland: English	ie	https://www.ifm.com/web/read_jsoncountries_ie.js		{ "info": [{"company":"ifm electronic (Ireland) Ltd.", "address":"No. 7, The Courtyard<br>Kilcarbery Business Park<br>New Nangor Road<br>Clondalkin<br>Dublin 22<br>Phone +353 / 1 / 461 32 00 <br>Fax +353 / 1 / 457 38 28","email":"sales_ie@ifm.com", "link":"www.ifm.com/ie", "flag":"IRL"}]}
Israel: English	il	https://www.ifm.com/web/read_jsoncountries_il.js		{ "info": [{"company":"ifm electronic (Israel) Ltd.", "address":"Tsor St. 8<br>Kohav Yaâ€™irâ€“Tzur Yig'al<br>4486400 Israel<br>Phone +972 (0)74-7671700","email":"sales.il@ifm.com", "link":"www.ifm.com/ifmisr/web/home.htm", "flag":"IL"}]}
Italy: Italiano	it	https://www.ifm.com/web/read_jsoncountries_it.js		{ "info": [{"company":"ifm electronic", "address":"Centro Direzionale Colleoni<br>Palazzo Andromeda 2<br>Via Paracelso n. 18<br>20864 Agrate Brianza (MB)<br>Phone +39 (0)39-6899982<br>Fax +39 (0)39-6899995","email":"info.it@ifm.com", "link":"www.ifm.com/it", "flag":"I"}]}
				
Japan: 日本語	jp	https://www.ifm.com/web/read_jsoncountries_jp.js		{ "info": [{"company":"ifm efector co. ltd.", "address":"Tozan Building 10F<br>4-4-2 Nihonbashi-Honcho, Chuo-ku<br>Tokyo 103-0023<br>JAPAN<br>Telefon +81-3-5255-5500<br>Fax +81-3-5255-5511<br>","email":"info.jp@ifm.com", "link":"www.ifm.com/jp", "flag":"J"}]}
				
Korea: 한국어	kr	https://www.ifm.com/web/read_jsoncountries_kr.js		{ "info": [{"company":"ifm electronic Ltd.", "address":"Hyundai Liberty House 201<br>Dokseodang-ro Yongsan-Gu <br>04420 Seoul<br> <br><b>ì•„ì´ì—í”„ì— ì¼ë ‰íŠ¸ë¡œë‹‰</b><br>04420<br>ì„œìš¸ì‹œ ìš©ì‚°êµ¬ ë…ì„œë‹¹ë¡œ 70<br>201(í•œë‚¨ë™ í˜„ëŒ€ ë¦¬ë²„í‹°í•˜ìš°ìŠ¤)<br> <br>Phone +82 2-790-5610<br>Fax +82 2-790-5613","email":"info.kr@ifm.com", "link":"www.ifm.com/kr", "flag":"ROK"}]}
				
Malaysia: English	my	https://www.ifm.com/web/read_jsoncountries_my.js		{ "info": [{"company":"ifm electronic Pte Ltd", "address":"3A International Business Park<br>#06-05 ICON@IBP<br>Singapore 609935<br>Phone +6565628661 <br>Fax +6565628660<br>sales.sg@ifm.com<br>www.ifm.com/sg<br><br><b>Malaysian Branch Office</b><br>No. 9F â€“ 2A, 9th Floor,<br>Tower 4 @ PFCC, Jalan Puteri 1/2,<br>Bandar Puteri Puchong,<br>47100 Puchong, Selangor<br>Phone + 603 8066 9853<br>Fax + 603 8066 9854<br>sales.my@ifm.com<br>www.ifm.com/my","email":"", "link":"", "flag":"SGPMAL"}]}
Morocco: Contact	mx	https://www.ifm.com/web/read_jsoncountries_mx.js		{ "info": [{"company":"ifm efector S. de R.L. de C.V.", "address":"Ave. Arq. Pedro RamÃ­rez VÃ¡zquez 200-4<br>Planta Baja, Col. Valle Oriente.<br>San Pedro Garza GarcÃ­a, N.L. 66269<br>Phone +52-81-8040-3535<br>Fax +52-81-8040-2343","email":"clientes.mx@ifm.com", "link":"www.ifm.com/mx", "flag":"MEX"}]}
Mexico: Español	ma	https://www.ifm.com/web/read_jsoncountries_ma.js		{ "info": [{"company":"ifm electronic SARL", "address":"203 Angle bd Abdelmoumen et bd Anoual<br>EntrÃ©e B Bureau NÂ°9, 2Ã©me Ã©tage<br>20390 Casablanca<br>Phone +212 522 99 71 00<br>Fax +212 522 98 67 15","email":"info.ma@ifm.com", "link":"", "flag":"MOR"}]}
				
Namibia: English	na	https://www.ifm.com/web/read_jsoncountries_na.js		{ "info": [{"company":"ifm electronic (pty) Ltd", "address":"1 Basement Office,<br>Decor House<br>25 Dr. W. Kulz Street     <br>Windhoek <br>Namibia<br>Tel. +264 61 300984 / 300998 <br>Fax +264 61 300910<br>Fax to email +264 88 651 9943","email":"info.na@ifm.com", "link":"www.ifm.com/na", "flag":"na"}]}
Netherlands: Nederlands	nl	https://www.ifm.com/web/read_jsoncountries_nl.js		{ "info": [{"company":"ifm electronic b.v.", "address":"Deventerweg 1 E<br>3843 GA Harderwijk<br>Phone +31 / 341 438 438<br>Fax +31 / 341 438 430","email":"info.nl@ifm.com", "link":"www.ifm.com/nl", "flag":"NL2"}]}
New Zealand: English	nz	https://www.ifm.com/web/read_jsoncountries_nz.js		{ "info": [{"company":"ifm efector pty ltd.", "address":"Unit 13, 930 Great South Road<br>Penrose, Auckland<br>Phone +64 / 95 79 69 91<br>Fax +64 / 95 79 92 82","email":"sales.nz@ifm.com", "link":"www.ifm.com/nz", "flag":"NZ"}]}
				
Poland: Polski	pl	https://www.ifm.com/web/read_jsoncountries_pl.js		{ "info": [{"company":"ifm  electronic  Sp.z o.o.", "address":"ul. WÄ™glowa 7<br>PL 40-105  Katowice<br>Phone +48 32 70 56 454<br>Phone +48 32 70 56 480<br>Fax +48 32 70 56 455","email":"info.pl@ifm.com", "link":"www.ifm.com/pl", "flag":"PL"}]}
Portugal: Português	pt	https://www.ifm.com/web/read_jsoncountries_pt.js		{ "info": [{"company":"ifm electronic s.a.", "address":"Parque TecnolÃ³gico S. FÃ©lix da Marinha<br>Avenida Manuel Violas, 476<br>4410-137 SÃ£o FÃ©lix da Marinha<br>Phone +351 22 37 17 108<br>Fax +351 22 37 17 110","email":"info.pt@ifm.com", "link":"www.ifm.com/pt", "flag":"P"}]}
				
Romania: Română	ro	https://www.ifm.com/web/read_jsoncountries_ro.js		{ "info": [{"company":"ifm electronic s.r.l.", "address":"Mihai Viteazu Str. Nr. 1<br>Selimbar, Sibiu<br>557260<br>Phone 0040 269 224550<br>Fax 0040 269 224766","email":"info.ro@ifm.com", "link":"", "flag":"rom"}]}
Russia: Русский	ru	https://www.ifm.com/web/read_jsoncountries_ru.js		{ "info": [{"company":"ifm electronic", "address":"Ibragimova, 31, k.50<br>office 808<br>105318 Moscow<br>Phone +7 (495) 921-44-14<br>Fax +7 (495) 651-82-97","email":"info.ru@ifm.com", "link":"www.ifm.com/ru", "flag":"RU"}]}
				
